addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Санкт-Петербург, Обуховской обороны, 303",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.8422, 30.4839,,,,,71,,,,https://www.gpnbonus.ru/
"Голузиново, М8 Москва-Холмогоры (226 км, слева)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,57.3413, 39.5803,,,,,72,,,,https://www.gpnbonus.ru/
"Москва, 6-ой Загородный, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6842, 37.6064,,,,,73,,,,https://www.gpnbonus.ru/
"Оли Сомон, Поворот на Явана",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.4581, 68.7888,,,,,74,,,,https://www.gpnbonus.ru/
"Минск, Ваупшасова, 12",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,53.8953, 27.6479,,,,,75,,,,https://www.gpnbonus.ru/
"Бердск, Промышленная, 2",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.7530, 83.128,,,,,76,,,,https://www.gpnbonus.ru/
"Березовский, Пионерская, 67",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6242, 86.2483,,,,,77,,,,https://www.gpnbonus.ru/
"Омск, 3-я Молодежная, 14",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9564, 73.4873,,,,,78,,,,https://www.gpnbonus.ru/
"Бишкек, Жибек-Жолу, 623/1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,42.8852, 74.5728,,,,,79,,,,https://www.gpnbonus.ru/
"Горячий Ключ, Краснодар-Джубга (68 км, слева)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,44.6410, 39.1156,,,,,80,,,,https://www.gpnbonus.ru/
"Нур-Султан, Алаш, 18/1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.1890, 71.4557,,,,,81,,,,https://www.gpnbonus.ru/
"Мамонтово, Горького, 5",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.9478, 38.5532,,,,,82,,,,https://www.gpnbonus.ru/
"Пушкино, Ярославское, 1 (40й км)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.0582, 37.898,,,,,83,,,,https://www.gpnbonus.ru/
